timestamp,gpu0_used_mb,gpu1_used_mb,gpu2_used_mb,gpu3_used_mb,gpu4_used_mb,gpu5_used_mb
2026-05-24 17:04:03,64523,61650,61650,61650,61650,61814
2026-05-24 17:04:13,64535,61664,61664,61664,61664,61828
2026-05-24 17:04:23,19271,13526,13526,13526,13526,13690
2026-05-24 17:04:33,19271,13526,13526,13526,13526,13690
2026-05-24 17:04:44,19271,13526,13526,13526,13526,13690
2026-05-24 17:04:54,19271,13526,13526,13526,13526,13690
2026-05-24 17:05:04,19271,13526,13526,13526,13526,13690
2026-05-24 17:05:14,19271,13526,13526,13526,13526,13690
2026-05-24 17:05:24,19271,13526,13526,13526,13526,13690
2026-05-24 17:05:34,19271,13526,13526,13526,13526,13690
2026-05-24 17:05:44,19271,13526,13526,13526,13526,13690
2026-05-24 17:05:54,19271,13526,13526,13526,13526,13690
2026-05-24 17:06:04,19271,13526,13526,13526,13526,13690
2026-05-24 17:06:14,19271,13526,13526,13526,13526,13690
2026-05-24 17:06:24,19271,13526,13526,13526,13526,13690
2026-05-24 17:06:34,19271,13526,13526,13526,13526,13690
2026-05-24 17:06:44,19271,13526,13526,13526,13526,13690
2026-05-24 17:06:55,19271,13526,13526,13526,13526,13690
2026-05-24 17:07:05,19271,13526,13526,13526,13526,13690
2026-05-24 17:07:15,19271,13526,13526,13526,13526,13690
2026-05-24 17:07:25,19271,13526,13526,13526,13526,13690
2026-05-24 17:07:35,19271,13526,13526,13526,13526,13690
2026-05-24 17:07:45,19271,13526,13526,13526,13526,13690
2026-05-24 17:07:55,19271,13526,13526,13526,13526,13690
2026-05-24 17:08:05,19271,13526,13526,13526,13526,13690
2026-05-24 17:08:15,19271,13526,13526,13526,13526,13690
2026-05-24 17:08:25,19271,13526,13526,13526,13526,13690
2026-05-24 17:08:36,19271,13526,13526,13526,13526,13690
2026-05-24 17:08:46,8480,5554,5554,5554,5552,5554
2026-05-24 17:08:58,8480,5554,5554,5554,5552,5554
2026-05-24 17:09:08,8480,5554,5554,5554,5552,5554
2026-05-24 17:09:18,8480,5554,5554,5554,5552,5554
2026-05-24 17:09:28,8480,5554,5554,5554,5552,5554
2026-05-24 17:09:38,8480,5974,5974,5974,5972,5974
2026-05-24 17:09:48,14403,11724,11724,11724,11722,11852
2026-05-24 17:09:58,67211,66520,66520,66520,66518,66480
2026-05-24 17:10:08,64233,63648,63648,63648,63648,63600
2026-05-24 17:10:19,69217,68560,68560,68560,68560,68494
2026-05-24 17:10:29,69217,68560,68560,68560,68560,68494
2026-05-24 17:10:39,69217,68560,68560,68560,68560,68494
2026-05-24 17:10:49,69217,68560,68560,68560,68560,68494
2026-05-24 17:10:59,69217,68560,68560,68560,68560,68494
2026-05-24 17:11:09,69217,68560,68560,68560,68560,68494
2026-05-24 17:11:19,69217,68560,68560,68560,68560,68494
2026-05-24 17:11:29,69217,68560,68560,68560,68560,68494
2026-05-24 17:11:40,69217,68560,68560,68560,68560,68494
2026-05-24 17:11:50,69217,68560,68560,68560,68560,68494
2026-05-24 17:12:00,30959,45204,45204,45204,45204,45368
2026-05-24 17:12:10,63891,60976,60976,60976,60976,61140
2026-05-24 17:12:20,63893,60978,60978,60978,60978,61142
2026-05-24 17:12:30,63893,60978,60978,60978,60978,61142
2026-05-24 17:12:40,19271,13526,13526,13526,13526,13690
2026-05-24 17:12:50,19271,13526,13526,13526,13526,13690
2026-05-24 17:13:00,19271,13526,13526,13526,13526,13690
2026-05-24 17:13:10,19271,13526,13526,13526,13526,13690
2026-05-24 17:13:20,19271,13526,13526,13526,13526,13690
2026-05-24 17:13:30,19271,13526,13526,13526,13526,13690
2026-05-24 17:13:40,19271,13526,13526,13526,13526,13690
2026-05-24 17:13:51,19271,13526,13526,13526,13526,13690
2026-05-24 17:14:01,19271,13526,13526,13526,13526,13690
2026-05-24 17:14:11,19271,13526,13526,13526,13526,13690
2026-05-24 17:14:21,19271,13526,13526,13526,13526,13690
2026-05-24 17:14:31,19271,13526,13526,13526,13526,13690
2026-05-24 17:14:41,19271,13526,13526,13526,13526,13690
2026-05-24 17:14:51,19271,13526,13526,13526,13526,13690
2026-05-24 17:15:01,19271,13526,13526,13526,13526,13690
2026-05-24 17:15:11,19271,13526,13526,13526,13526,13690
2026-05-24 17:15:21,19271,13526,13526,13526,13526,13690
